Image_name,data_type,Genotype,Treatment,Replication,Group,DBSCAN_density_points,DBSCAN_centre_x,DBSCAN_centre_y,Custom_density_points,Custom_centre_x,Custom_centre_y,FCM_density_points,FCM_centre_x,FCM_centre_y,GMM_density_points,GMM_centre_x,GMM_centre_y,HDBSCAN_density_points,HDBSCAN_centre_x,HDBSCAN_centre_y,K-mean_density_points,K-mean_centre_x,K-mean_centre_y,SLIC_density_points,SLIC_centre_x,SLIC_centre_y,Mean-shift_density_points,Mean-shift_centre_x,Mean-shift_centre_y,OPTICS_density_points,OPTICS_centre_x,OPTICS_centre_y
d35_44_G06_0_4_S,glasshouse_b2,3811,T0,R4,S,8710,1267,4011,74,1024.743243,4179.121622,47411,1284,1316,52676,1220,3129,8710,1249.249369,4016.646498,24755,1601.534195,929.8362755,500202,875.8631913,2396.22831,15276,853.9988871,2790.737759,8311,1249.37673,4008.847912
d07_46_G06_1_2_S,glasshouse_b2,3811,T1,R2,S,2047,1362,706,81,1652.45679,386.2962963,5851,1592,470,6848,1593,508,2047,1360.558867,704.4601856,2845,1591.759578,377.7876977,407848,1454.421792,363.9681695,2364,1571.378596,380.8489848,2047,1360.558867,704.4601856
d3_T008_08.10.23,field,3811,na,R4,S,19607,1261,6238,67,996.6119403,3270.477612,167320,984,3065,216807,1062,3501,19607,1260.911664,6248.805682,84104,758.7402977,3255.477861,413543,899.7649724,5980.482264,90938,831.6167389,3041.26738,18822,1269.046541,6250.439061
d13_16_G02_1_4_T,glasshouse_b1,5489,T1,R4,T,5472,1716,1482,53,1563.113208,491.0943396,7295,2262,1527,7926,1686,1340,5441,1721.24683,1479.988789,2850,1664.365965,1309.077193,470129,1539.47015,1008.428846,2408,2237.980897,1394.267442,5418,1720.685862,1478.36471
d33_34_G05_0_2_S,glasshouse_b1,Hartog,T0,R2,S,6350,2143,1348,85,1640.223529,643.3882353,28193,1581,1495,29844,2124,3031,6350,2142.971496,1348.074961,15771,1725.411959,1159.796081,452427,1914.071945,963.1429667,26942,1621.914149,725.021305,6116,2123.693427,1296.089438
d31_11_G02_0_3_T,glasshouse_b2,5489,T0,R3,T,21158,1556,3895,70,1563.228571,2996.042857,39024,1690,3581,45421,1575,2750,21158,1523.291946,3878.70673,17306,1509.739166,2658.500578,379362,1447.605725,3853.107517,11650,1429.041888,4267.610558,12230,1461.220687,4137.133933
d49_32_G04_1_4_S,glasshouse_b2,Forrest,T1,R4,S,5211,623,2517,49,1515.469388,755.7959184,24328,2369,3037,29394,2369,3037,4986,627.6105094,2498.256318,14830,1518.326231,684.7892785,348464,1452.014831,778.9196445,14830,1518.326231,684.7892785,4986,627.6105094,2498.256318
d2_T011_02.10.23,field,Gladius,na,R4,T,77231,1446,5757,74,1520.648649,5933.810811,265625,1200,5589,240203,1167,5725,73239,1442.284493,5753.261473,103732,1602.764586,5680.395645,865295,451.3667339,5632.319815,110765,1595.699707,5667.121609,64479,1411.215466,5708.012314
d5_T009_21.10.23,field,3811,na,R5,S,115833,911,5790,48,1006,5970.395833,281147,993,5258,309282,945,5122,74349,981.0022596,5993.683345,135640,1111.438396,6197.556753,758767,1150.916906,6176.789983,135575,1113.865794,6197.436364,70369,974.5960437,6029.783541
d17_43_G06_0_3_S,glasshouse_b1,3811,T0,R3,S,6211,1390,2081,66,1885.712121,2500.106061,19623,1697,2328,22338,1697,2407,6211,1425.680245,2087.268395,9607,1533.701468,2055.913188,347785,2033.343988,2647.498469,10887,1530.32424,2042.688987,6169,1424.522289,2090.580969
d05_34_G05_0_2_S,glasshouse_b1,Hartog,T0,R2,S,2733,2018,738,65,1607.261538,296.6,7047,1643,559,7203,1643,559,2733,2017.96341,738.4145628,3048,1683.972441,520.5577428,348409,1454.111237,772.0272266,3966,1631.020676,288.3703984,2733,2017.96341,738.4145628
d35_16_G02_1_4_T,glasshouse_b2,5489,T1,R4,T,11295,1931,3305,52,1990.711538,2160.173077,33589,1922,3300,48186,1935,2255,11295,2015.52448,3259.829571,15335,1528.169416,837.703554,584195,2027.159224,2563.121951,17526,2234.617368,3606.753966,11096,2013.760905,3252.436373
d25_42_G06_0_2_S,glasshouse_b1,3811,T0,R2,S,10025,996,2755,53,1732.773585,3183.301887,26135,1101,2171,25613,1101,2171,9714,936.0272802,2723.593267,13765,837.8682891,2281.538177,361597,1943.217278,2089.102733,13318,1923.129974,2333.686815,9713,936.0449912,2723.512509
d31_14_G02_1_2_T,glasshouse_b2,5489,T1,R2,T,18342,2353,2849,65,2261.630769,3211.169231,22786,2111,3348,23941,2119,1822,13691,2400.330947,3284.851654,10712,2113.243185,2480.999253,594957,2133.084615,2112.695195,10414,2335.630209,3849.449971,13691,2400.330947,3284.851654
d41_16_G02_1_4_T,glasshouse_b1,5489,T1,R4,T,11576,1946,3323,52,2183.442308,2126.192308,30047,2003,4074,38329,2209,3344,11576,2029.461558,3300.511057,18177,2396.936568,4021.572537,407845,2034.194513,3068.072702,21321,2205.781811,3673.54716,7702,2052.123085,3520.671644
d27_48_G06_1_4_S,glasshouse_b2,3811,T1,R4,S,17679,1425,3148,62,1511.048387,3676.129032,22905,1308,3115,22296,1301,3095,17679,1406.651055,3142.668533,11093,1466.418462,2519.520418,784085,1443.638049,2611.47463,13508,1462.784424,3344.884217,17622,1405.840937,3143.408637
d17_13_G02_1_1_T,glasshouse_b1,5489,T1,R1,T,8237,1821,1966,59,2666.847458,2358.949153,15058,1282,2087,16614,1292,2127,8237,1741.805876,2014.359111,6037,1681.543316,2532.897797,543251,1534.443079,1280.383802,5622,1653.463358,955.1963714,11366,1699.899525,1758.45117
d19_33_G05_0_1_S,glasshouse_b2,Hartog,T0,R1,S,3282,1242,959,75,1152.933333,2240.106667,17726,1245,2618,19932,1271,2491,3282,1246.656307,958.6773309,9016,1167.189774,2344.608363,395973,1052.816346,882.0955368,10139,1282.748101,775.0073972,3282,1246.656307,958.6773309
d1_T023_27.09.23,field,3811,na,R8,S,56208,534,3823,87,565.9425287,3593.252874,268339,1054,4794,311777,868,4483,46462,572.4602471,3832.570079,149732,1024.968677,4242.026534,466144,336.938991,3454.362929,240991,984.6250358,3695.405899,39751,548.8072501,3837.254107
d19_42_G06_0_2_S,glasshouse_b2,3811,T0,R2,S,7451,1921,2581,80,994.05,1641.1125,23946,1035,2630,30183,1045,1686,7453,1908.310882,2581.211995,12555,1272.06826,905.1057746,358418,1937.52785,2066.935843,16989,858.665666,2157.729707,6160,1909.476786,2681.349675
d43_18_G03_0_2_T,glasshouse_b2,CALINGIRI,T0,R2,T,23255,1167,2379,52,1926.153846,1694.865385,64988,1369,1540,63988,1202,1952,23255,1190.737261,2387.660632,33213,1549.161112,1024.276518,425007,1410.329755,2170.443746,27992,1041.185517,2464.053694,20315,1169.043465,2473.657741
d37_11_G02_0_3_T,glasshouse_b1,5489,T0,R3,T,11211,1440,4114,51,1836.372549,1026.72549,27078,1538,3893,26940,1538,3893,11206,1437.172229,4113.649117,11382,1589.380425,3348.479266,540400,1787.450934,3849.633871,11655,1407.842557,4273.461862,7476,1618.031701,3312.059524
d31_24_G03_1_4_T,glasshouse_b2,CALINGIRI,T1,R4,T,24605,1147,3631,68,1265.691176,4275.102941,29238,1264,3941,29716,1250,3900,24040,1208.802995,3596.323295,13989,1088.824005,2819.748874,595753,990.7437747,2765.551124,19965,1193.041623,3878.419384,20759,1189.206561,3417.412159
d29_39_G05_1_3_S,glasshouse_b1,Hartog,T1,R3,S,6603,1490,2614,64,1011.59375,2056.6875,12657,1500,2572,10959,1539,2501,6603,1500.102681,2616.684689,4690,1582.553518,2537.628145,359506,1448.527296,2197.041649,8949,1616.794949,2421.555369,5300,1012.239245,2030.03
d15_24_G03_1_4_T,glasshouse_b2,CALINGIRI,T1,R4,T,7489,2286,1924,82,1295.121951,1140.182927,17462,1513,1038,23421,1308,1684,7489,2273.660836,1923.619575,8000,1341.461,923.6755,362497,2039.767568,1504.109411,7331,1059.110899,2047.601146,7489,2273.660836,1923.619575
