Image_name,data_type,Genotype,Treatment,Replication,Group,DBSCAN_density_points,DBSCAN_centre_x,DBSCAN_centre_y,Custom_points,Custom_centre_x,Custom_centre_y,FCM_density_points,FCM_centre_x,FCM_centre_y,GMM_density_points,GMM_centre_x,GMM_centre_y,HDBSCAN_density_points,HDBSCAN_centre_x,HDBSCAN_centre_y,K-mean_density_points,K-mean_centre_x,K-mean_centre_y,SLIC_density_points,SLIC_centre_x,SLIC_centre_y,Mean_shift_density_points,Mean-shift_centre_x,Mean-shift_centre_y,OPTICS_density_points,OPTICS_centre_x,OPTICS_centre_y,Number.of.Root.Tips,Number.of.Branch.Points,Total.Root.Length.mm,Branching.frequency.per.mm,Network.Area.mm2,Average.Diameter.mm,Median.Diameter.mm,Maximum.Diameter.mm,Perimeter.mm,Volume.mm3,Surface.Area.mm2,Root.Length.Diameter.Range.1.mm,Root.Length.Diameter.Range.2.mm,Root.Length.Diameter.Range.3.mm,Projected.Area.Diameter.Range.1.mm2,Projected.Area.Diameter.Range.2.mm2,Projected.Area.Diameter.Range.3.mm2,Surface.Area.Diameter.Range.1.mm2,Surface.Area.Diameter.Range.2.mm2,Surface.Area.Diameter.Range.3.mm2,Volume.Diameter.Range.1.mm3,Volume.Diameter.Range.2.mm3,Volume.Diameter.Range.3.mm3
d35_44_G06_0_4_S,glasshouse_b2,3811,T0,R4,S,8710,1267,4011,74,1024.743243,4179.121622,47411,1284,1316,52676,1220,3129,8710,1249.249369,4016.646498,24755,1601.534195,929.8362755,500202,875.8631913,2396.22831,15276,853.9988871,2790.737759,8311,1249.37673,4008.847912,405,269,1353.265435,0.198778,464.804864,0.380199,0.410526,0.973648,2624.678022,170.423492,1627.676896,373.045182,962.276984,17.94327,87.035186,418.52868,12.518228,273.429102,1314.920622,39.327173,17.025577,146.441288,6.956627
d07_46_G06_1_2_S,glasshouse_b2,3811,T1,R2,S,2047,1362,706,81,1652.45679,386.2962963,5851,1592,470,6848,1593,508,2047,1360.558867,704.4601856,2845,1591.759578,377.7876977,407848,1454.421792,363.9681695,2364,1571.378596,380.8489848,2047,1360.558867,704.4601856,50,24,147.031573,0.16323,52.165794,0.385885,0.410526,0.917964,286.899571,19.461967,180.402496,30.938713,111.011975,5.080885,6.685005,46.901595,3.837298,21.001563,147.345706,12.055227,1.238721,15.929348,2.293898
d3_T008_08.10.23,field,3811,na,R4,S,19607,1261,6238,67,996.6119403,3270.477612,167320,984,3065,216807,1062,3501,19607,1260.911664,6248.805682,84104,758.7402977,3255.477861,413543,899.7649724,5980.482264,90938,831.6167389,3041.26738,18822,1269.046541,6250.439061,957,416,3011.612207,0.138132,563.638658,0.208506,0.18932,0.723392,5947.749228,113.611967,1972.499693,2722.324692,288.018761,1.268754,526.722396,100.291768,0.834067,1654.74721,315.132184,2.620299,85.12984,28.050189,0.431938
d13_16_G02_1_4_T,glasshouse_b1,5489,T1,R4,T,5472,1716,1482,53,1563.113208,491.0943396,7295,2262,1527,7926,1686,1340,5441,1721.24683,1479.988789,2850,1664.365965,1309.077193,470129,1539.47015,1008.428846,2408,2237.980897,1394.267442,5418,1720.685862,1478.36471,41,21,214.261676,0.098011,84.22893,0.424112,0.435429,0.649099,423.101492,31.262956,284.275196,20.521509,192.894213,0.845955,4.655579,85.306262,0.481075,14.625932,267.997527,1.651737,0.883233,30.122978,0.256745
d33_34_G05_0_2_S,glasshouse_b1,Hartog,T0,R2,S,6350,2143,1348,85,1640.223529,643.3882353,28193,1581,1495,29844,2124,3031,6350,2142.971496,1348.074961,15771,1725.411959,1159.796081,452427,1914.071945,963.1429667,26942,1621.914149,725.021305,6116,2123.693427,1296.089438,339,263,1055.921102,0.249072,390.161168,0.415012,0.435429,1.105375,2012.359139,157.422239,1385.86024,170.476569,831.042331,54.402203,40.418745,360.726694,39.942887,126.979234,1133.256331,125.624675,7.978918,125.846362,23.59696
d31_11_G02_0_3_T,glasshouse_b2,5489,T0,R3,T,21158,1556,3895,70,1563.228571,2996.042857,39024,1690,3581,45421,1575,2750,21158,1523.291946,3878.70673,17306,1509.739166,2658.500578,379362,1447.605725,3853.107517,11650,1429.041888,4267.610558,12230,1461.220687,4137.133933,229,169,948.062717,0.178258,358.550962,0.415869,0.435429,0.917964,1838.696595,138.611989,1241.723493,131.54682,790.5992,25.916697,29.955799,346.411639,18.885426,94.108917,1088.28426,59.330316,5.743649,121.956917,10.911423
d49_32_G04_1_4_S,glasshouse_b2,Forrest,T1,R4,S,5211,623,2517,49,1515.469388,755.7959184,24328,2369,3037,29394,2369,3037,4986,627.6105094,2498.256318,14830,1518.326231,684.7892785,348464,1452.014831,778.9196445,14830,1518.326231,684.7892785,4986,627.6105094,2498.256318,310,188,692.797666,0.271364,225.553203,0.371819,0.410526,1.105375,1316.78648,87.156269,818.215289,219.458162,447.751697,25.587806,49.17562,192.496583,18.605644,154.489766,604.819846,58.905677,9.295183,66.807512,11.053574
d2_T011_02.10.23,field,Gladius,na,R4,T,77231,1446,5757,74,1520.648649,5933.810811,265625,1200,5589,240203,1167,5725,73239,1442.284493,5753.261473,103732,1602.764586,5680.395645,865295,451.3667339,5632.319815,110765,1595.699707,5667.121609,64479,1411.215466,5708.012314,1304,580,4425.733572,0.131052,797.025288,0.200816,0.18932,0.682604,8738.622109,153.63793,2793.706113,4129.213804,295.592689,0.927079,786.946916,101.702723,0.59636,2472.266651,319.565943,1.87352,125.240937,28.095214,0.301779
d5_T009_21.10.23,field,3811,na,R5,S,115833,911,5790,48,1006,5970.395833,281147,993,5258,309282,945,5122,74349,981.0022596,5993.683345,135640,1111.438396,6197.556753,758767,1150.916906,6176.789983,135575,1113.865794,6197.436364,70369,974.5960437,6029.783541,1207,731,4506.413862,0.162213,849.786831,0.211895,0.18932,0.780588,8825.460412,177.670144,2997.019656,4049.82491,454.101041,2.487911,785.965611,166.250801,1.661177,2469.267169,522.533744,5.218742,127.260357,49.535202,0.874585
d17_43_G06_0_3_S,glasshouse_b1,3811,T0,R3,S,6211,1390,2081,66,1885.712121,2500.106061,19623,1697,2328,22338,1697,2407,6211,1425.680245,2087.268395,9607,1533.701468,2055.913188,347785,2033.343988,2647.498469,10887,1530.32424,2042.688987,6169,1424.522289,2090.580969,128,74,599.981955,0.123337,226.395861,0.409086,0.435429,0.598439,1182.773394,83.015987,772.332955,76.625051,523.356905,0,17.579269,228.261946,0,55.226903,717.106052,0,3.376444,79.639542,0
